,date,location,total_cases
394,2020-09-02,Spain,479554.0
395,2020-09-03,Argentina,428226.0
396,2020-09-03,Spain,488513.0
397,2020-09-04,Argentina,439159.0
398,2020-09-04,Spain,498989.0
399,2020-09-05,Argentina,451185.0
400,2020-09-05,Spain,498989.0
401,2020-09-06,Argentina,461869.0
402,2020-09-06,Spain,498989.0
403,2020-09-07,Argentina,471793.0
404,2020-09-07,Spain,525549.0
405,2020-09-08,Argentina,478779.0
406,2020-09-08,Spain,534513.0
407,2020-09-09,Argentina,487994.0
408,2020-09-09,Spain,543379.0
409,2020-09-10,Argentina,500021.0
410,2020-09-10,Spain,554143.0
411,2020-09-11,Argentina,512280.0
412,2020-09-11,Spain,566326.0
413,2020-09-12,Argentina,524185.0
414,2020-09-12,Spain,566326.0
415,2020-09-13,Argentina,535690.0
416,2020-09-13,Spain,566326.0
417,2020-09-14,Argentina,546468.0
418,2020-09-14,Spain,593730.0
419,2020-09-15,Argentina,555524.0
420,2020-09-15,Spain,603167.0
421,2020-09-16,Argentina,565432.0
422,2020-09-16,Spain,614360.0
423,2020-09-17,Argentina,577325.0
424,2020-09-17,Spain,625651.0
425,2020-09-18,Argentina,588999.0
426,2020-09-18,Spain,640040.0
427,2020-09-19,Argentina,601700.0
428,2020-09-19,Spain,640040.0
429,2020-09-20,Argentina,613645.0
